user_id,radius,iteration,FN,TP,test_size,FN_p,TP_p
6073,1,0,14,1,15,0.9333333333333333,0.06666666666666667
5980,1,0,45,0,45,1.0,0.0
5993,1,0,98,385,483,0.2028985507246377,0.7971014492753623
6037,1,0,109,114,223,0.48878923766816146,0.5112107623318386
5979,1,0,5,0,5,1.0,0.0
5966,1,0,0,73,73,0.0,1.0
5985,1,0,3,0,3,1.0,0.0
5967,1,0,0,76,76,0.0,1.0
6188,1,0,21,1,22,0.9545454545454546,0.045454545454545456
6041,1,0,0,12,12,0.0,1.0
5972,1,0,13,0,13,1.0,0.0
6069,1,0,1,3,4,0.25,0.75
5937,1,0,1,0,1,1.0,0.0
6028,1,0,28,3,31,0.9032258064516129,0.0967741935483871
5990,1,0,0,130,130,0.0,1.0
5928,1,0,150,331,481,0.31185031185031187,0.6881496881496881
5992,1,0,4,0,4,1.0,0.0
6058,1,0,13,0,13,1.0,0.0
6001,1,0,27,2,29,0.9310344827586207,0.06896551724137931
5964,1,0,30,1,31,0.967741935483871,0.03225806451612903
5950,1,0,3,1,4,0.75,0.25
5991,1,0,8,0,8,1.0,0.0
6177,1,0,175,134,309,0.5663430420711975,0.4336569579288026
5961,1,0,0,321,321,0.0,1.0
6176,1,0,0,93,93,0.0,1.0
5956,1,0,0,31,31,0.0,1.0
5938,1,0,62,577,639,0.09702660406885759,0.9029733959311425
6179,1,0,26,2,28,0.9285714285714286,0.07142857142857142
5947,1,0,52,8,60,0.8666666666666667,0.13333333333333333
5927,1,0,13,442,455,0.02857142857142857,0.9714285714285714
5977,1,0,6,300,306,0.0196078431372549,0.9803921568627451
6198,1,0,0,5,5,0.0,1.0
5957,1,0,0,45,45,0.0,1.0
6057,1,0,26,3,29,0.896551724137931,0.10344827586206896
6043,1,0,8,0,8,1.0,0.0
6077,1,0,0,4,4,0.0,1.0
6014,1,0,14,0,14,1.0,0.0
6015,1,0,3,0,3,1.0,0.0
5978,1,0,3,0,3,1.0,0.0
5986,1,0,15,35,50,0.3,0.7
5959,1,0,183,176,359,0.5097493036211699,0.49025069637883006
6051,1,0,28,10,38,0.7368421052631579,0.2631578947368421
6029,1,0,3,0,3,1.0,0.0
6070,1,0,1,0,1,1.0,0.0
5942,1,0,0,145,145,0.0,1.0
5953,1,0,4,0,4,1.0,0.0
6076,1,0,7,0,7,1.0,0.0
5940,1,0,10,0,10,1.0,0.0
6109,1,0,66,27,93,0.7096774193548387,0.2903225806451613
6187,1,0,3,0,3,1.0,0.0
6053,1,0,0,17,17,0.0,1.0
6104,1,0,9,0,9,1.0,0.0
5943,1,0,2,0,2,1.0,0.0
6017,1,0,3,0,3,1.0,0.0
6168,1,0,14,2,16,0.875,0.125
5989,1,0,5,1,6,0.8333333333333334,0.16666666666666666
5963,1,0,6,0,6,1.0,0.0
6194,1,0,0,26,26,0.0,1.0
6167,1,0,18,1,19,0.9473684210526315,0.05263157894736842
6004,1,0,1,63,64,0.015625,0.984375
6030,1,0,6,1,7,0.8571428571428571,0.14285714285714285
6054,1,0,6,0,6,1.0,0.0
6032,1,0,12,0,12,1.0,0.0
6170,1,0,58,6,64,0.90625,0.09375
6063,1,0,3,0,3,1.0,0.0
5988,1,0,1,0,1,1.0,0.0
6075,1,0,3,0,3,1.0,0.0
6061,1,0,0,67,67,0.0,1.0
5965,1,0,40,9,49,0.8163265306122449,0.1836734693877551
6040,1,0,9,1,10,0.9,0.1
6059,1,0,0,85,85,0.0,1.0
6106,1,0,53,10,63,0.8412698412698413,0.15873015873015872
6031,1,0,6,8,14,0.42857142857142855,0.5714285714285714
6180,1,0,0,6,6,0.0,1.0
6039,1,0,24,39,63,0.38095238095238093,0.6190476190476191
6189,2,0,0,18,18,0.0,1.0
5936,2,0,6,0,6,1.0,0.0
6087,2,0,3,8,11,0.2727272727272727,0.7272727272727273
5973,2,0,1,847,848,0.0011792452830188679,0.9988207547169812
6085,2,0,12,0,12,1.0,0.0
6012,2,0,0,62,62,0.0,1.0
5982,2,0,1,5,6,0.16666666666666666,0.8333333333333334
5948,2,0,0,57,57,0.0,1.0
5974,2,0,6,0,6,1.0,0.0
6090,2,0,0,4,4,0.0,1.0
6068,2,0,3,0,3,1.0,0.0
5962,2,0,27,14,41,0.6585365853658537,0.34146341463414637
6033,2,0,0,1,1,0.0,1.0
6038,2,0,2,0,2,1.0,0.0
6042,2,0,43,54,97,0.44329896907216493,0.5567010309278351
5924,2,0,3,0,3,1.0,0.0
6083,2,0,0,27,27,0.0,1.0
6178,2,0,18,0,18,1.0,0.0
5958,2,0,4,0,4,1.0,0.0
6086,2,0,0,14,14,0.0,1.0
5945,2,0,14,5,19,0.7368421052631579,0.2631578947368421
5935,2,0,5,0,5,1.0,0.0
6073,2,0,12,3,15,0.8,0.2
5980,2,0,43,2,45,0.9555555555555556,0.044444444444444446
5993,2,0,46,437,483,0.09523809523809523,0.9047619047619048
6037,2,0,49,174,223,0.21973094170403587,0.7802690582959642
5979,2,0,5,0,5,1.0,0.0
5966,2,0,0,73,73,0.0,1.0
5985,2,0,3,0,3,1.0,0.0
5967,2,0,0,76,76,0.0,1.0
6188,2,0,17,5,22,0.7727272727272727,0.22727272727272727
6041,2,0,0,12,12,0.0,1.0
5972,2,0,13,0,13,1.0,0.0
6069,2,0,1,3,4,0.25,0.75
5937,2,0,1,0,1,1.0,0.0
6028,2,0,22,9,31,0.7096774193548387,0.2903225806451613
5990,2,0,0,130,130,0.0,1.0
5928,2,0,53,428,481,0.1101871101871102,0.8898128898128899
5992,2,0,4,0,4,1.0,0.0
6058,2,0,12,1,13,0.9230769230769231,0.07692307692307693
6001,2,0,22,7,29,0.7586206896551724,0.2413793103448276
5964,2,0,28,3,31,0.9032258064516129,0.0967741935483871
5950,2,0,4,0,4,1.0,0.0
5991,2,0,7,1,8,0.875,0.125
6177,2,0,67,242,309,0.2168284789644013,0.7831715210355987
5961,2,0,0,321,321,0.0,1.0
6176,2,0,0,93,93,0.0,1.0
5956,2,0,0,31,31,0.0,1.0
5938,2,0,29,610,639,0.04538341158059468,0.9546165884194053
6179,2,0,22,6,28,0.7857142857142857,0.21428571428571427
5947,2,0,37,23,60,0.6166666666666667,0.38333333333333336
5927,2,0,2,453,455,0.004395604395604396,0.9956043956043956
5977,2,0,3,303,306,0.00980392156862745,0.9901960784313726
6198,2,0,0,5,5,0.0,1.0
5957,2,0,0,45,45,0.0,1.0
6057,2,0,21,8,29,0.7241379310344828,0.27586206896551724
6043,2,0,8,0,8,1.0,0.0
6077,2,0,0,4,4,0.0,1.0
6014,2,0,12,2,14,0.8571428571428571,0.14285714285714285
6015,2,0,3,0,3,1.0,0.0
5978,2,0,3,0,3,1.0,0.0
5986,2,0,15,35,50,0.3,0.7
5959,2,0,74,285,359,0.20612813370473537,0.7938718662952646
6051,2,0,29,9,38,0.7631578947368421,0.23684210526315788
6029,2,0,3,0,3,1.0,0.0
6070,2,0,1,0,1,1.0,0.0
5942,2,0,0,145,145,0.0,1.0
