user_id,radius,iteration,FN,TP,test_size,FN_p,TP_p
6058,1,0,61,8,69,0.8840579710144928,0.11594202898550725
6001,1,0,5,19,24,0.20833333333333334,0.7916666666666666
5964,1,0,1,9,10,0.1,0.9
5950,1,0,0,7,7,0.0,1.0
5991,1,0,0,20,20,0.0,1.0
6177,1,0,0,3,3,0.0,1.0
5961,1,0,0,45,45,0.0,1.0
5938,1,0,131,209,340,0.38529411764705884,0.6147058823529412
5960,1,0,0,36,36,0.0,1.0
5947,1,0,0,78,78,0.0,1.0
5957,1,0,6,1,7,0.8571428571428571,0.14285714285714285
6043,1,0,0,29,29,0.0,1.0
6014,1,0,10,0,10,1.0,0.0
6015,1,0,2,0,2,1.0,0.0
5978,1,0,16,0,16,1.0,0.0
5986,1,0,4,0,4,1.0,0.0
5969,1,0,4,0,4,1.0,0.0
5949,1,0,0,30,30,0.0,1.0
5959,1,0,38,2,40,0.95,0.05
6051,1,0,0,108,108,0.0,1.0
6029,1,0,1,19,20,0.05,0.95
6070,1,0,3,1,4,0.75,0.25
5942,1,0,0,108,108,0.0,1.0
5953,1,0,0,28,28,0.0,1.0
6076,1,0,9,5,14,0.6428571428571429,0.35714285714285715
5940,1,0,8,1,9,0.8888888888888888,0.1111111111111111
6109,1,0,83,12,95,0.8736842105263158,0.12631578947368421
6187,1,0,0,6,6,0.0,1.0
6053,1,0,0,15,15,0.0,1.0
6104,1,0,3,1,4,0.75,0.25
5943,1,0,0,9,9,0.0,1.0
6168,1,0,0,240,240,0.0,1.0
5989,1,0,0,6,6,0.0,1.0
5963,1,0,19,1,20,0.95,0.05
6194,1,0,0,80,80,0.0,1.0
6003,1,0,93,145,238,0.3907563025210084,0.6092436974789915
6167,1,0,9,1,10,0.9,0.1
6004,1,0,70,65,135,0.5185185185185185,0.48148148148148145
6054,1,0,0,14,14,0.0,1.0
6170,1,0,8,26,34,0.23529411764705882,0.7647058823529411
6063,1,0,10,0,10,1.0,0.0
5988,1,0,0,17,17,0.0,1.0
6075,1,0,1,11,12,0.08333333333333333,0.9166666666666666
6061,1,0,0,26,26,0.0,1.0
5965,1,0,0,45,45,0.0,1.0
6040,1,0,12,0,12,1.0,0.0
6106,1,0,0,30,30,0.0,1.0
6082,1,0,0,13,13,0.0,1.0
6031,1,0,1,24,25,0.04,0.96
6039,1,0,1,57,58,0.017241379310344827,0.9827586206896551
6189,2,0,5,17,22,0.22727272727272727,0.7727272727272727
5936,2,0,0,31,31,0.0,1.0
6087,2,0,0,18,18,0.0,1.0
5973,2,0,0,34,34,0.0,1.0
6085,2,0,0,34,34,0.0,1.0
5948,2,0,1,41,42,0.023809523809523808,0.9761904761904762
5974,2,0,0,10,10,0.0,1.0
6090,2,0,0,1,1,0.0,1.0
6068,2,0,0,35,35,0.0,1.0
6024,2,0,1,1,2,0.5,0.5
5976,2,0,40,40,80,0.5,0.5
5962,2,0,0,59,59,0.0,1.0
6033,2,0,2,22,24,0.08333333333333333,0.9166666666666666
6038,2,0,0,7,7,0.0,1.0
6042,2,0,0,49,49,0.0,1.0
5924,2,0,0,50,50,0.0,1.0
6083,2,0,7,5,12,0.5833333333333334,0.4166666666666667
6178,2,0,81,144,225,0.36,0.64
6086,2,0,0,25,25,0.0,1.0
5945,2,0,0,95,95,0.0,1.0
5925,2,0,0,122,122,0.0,1.0
5935,2,0,0,3,3,0.0,1.0
6073,2,0,6,1,7,0.8571428571428571,0.14285714285714285
5980,2,0,2,10,12,0.16666666666666666,0.8333333333333334
5993,2,0,0,24,24,0.0,1.0
5979,2,0,0,33,33,0.0,1.0
5966,2,0,20,6,26,0.7692307692307693,0.23076923076923078
5967,2,0,52,49,101,0.5148514851485149,0.48514851485148514
5970,2,0,0,14,14,0.0,1.0
6188,2,0,3,0,3,1.0,0.0
6096,2,0,1,0,1,1.0,0.0
6069,2,0,0,17,17,0.0,1.0
5937,2,0,0,6,6,0.0,1.0
5990,2,0,0,50,50,0.0,1.0
5928,2,0,0,22,22,0.0,1.0
6058,2,0,44,25,69,0.6376811594202898,0.36231884057971014
6001,2,0,6,18,24,0.25,0.75
5964,2,0,1,9,10,0.1,0.9
5950,2,0,0,7,7,0.0,1.0
5991,2,0,0,20,20,0.0,1.0
6177,2,0,0,3,3,0.0,1.0
5961,2,0,0,45,45,0.0,1.0
5938,2,0,30,310,340,0.08823529411764706,0.9117647058823529
5960,2,0,0,36,36,0.0,1.0
5947,2,0,0,78,78,0.0,1.0
5957,2,0,6,1,7,0.8571428571428571,0.14285714285714285
6043,2,0,0,29,29,0.0,1.0
6014,2,0,10,0,10,1.0,0.0
6015,2,0,2,0,2,1.0,0.0
5978,2,0,13,3,16,0.8125,0.1875
5986,2,0,4,0,4,1.0,0.0
5969,2,0,3,1,4,0.75,0.25
5949,2,0,0,30,30,0.0,1.0
5959,2,0,32,8,40,0.8,0.2
6051,2,0,0,108,108,0.0,1.0
6029,2,0,1,19,20,0.05,0.95
6070,2,0,4,0,4,1.0,0.0
5942,2,0,0,108,108,0.0,1.0
5953,2,0,0,28,28,0.0,1.0
6076,2,0,10,4,14,0.7142857142857143,0.2857142857142857
5940,2,0,8,1,9,0.8888888888888888,0.1111111111111111
6109,2,0,50,45,95,0.5263157894736842,0.47368421052631576
6187,2,0,2,4,6,0.3333333333333333,0.6666666666666666
6053,2,0,0,15,15,0.0,1.0
6104,2,0,4,0,4,1.0,0.0
5943,2,0,0,9,9,0.0,1.0
6168,2,0,0,240,240,0.0,1.0
5989,2,0,0,6,6,0.0,1.0
5963,2,0,16,4,20,0.8,0.2
6194,2,0,0,80,80,0.0,1.0
6003,2,0,49,189,238,0.20588235294117646,0.7941176470588235
6167,2,0,5,5,10,0.5,0.5
6004,2,0,31,104,135,0.22962962962962963,0.7703703703703704
6054,2,0,0,14,14,0.0,1.0
6170,2,0,4,30,34,0.11764705882352941,0.8823529411764706
6063,2,0,9,1,10,0.9,0.1
5988,2,0,0,17,17,0.0,1.0
6075,2,0,0,12,12,0.0,1.0
6061,2,0,0,26,26,0.0,1.0
5965,2,0,0,45,45,0.0,1.0
6040,2,0,10,2,12,0.8333333333333334,0.16666666666666666
6106,2,0,0,30,30,0.0,1.0
6082,2,0,2,11,13,0.15384615384615385,0.8461538461538461
6031,2,0,1,24,25,0.04,0.96
6039,2,0,4,54,58,0.06896551724137931,0.9310344827586207
6189,3,0,7,15,22,0.3181818181818182,0.6818181818181818
5936,3,0,0,31,31,0.0,1.0
6087,3,0,0,18,18,0.0,1.0
5973,3,0,0,34,34,0.0,1.0
6085,3,0,0,34,34,0.0,1.0
5948,3,0,0,42,42,0.0,1.0
5974,3,0,0,10,10,0.0,1.0
6090,3,0,0,1,1,0.0,1.0
6068,3,0,0,35,35,0.0,1.0
6024,3,0,2,0,2,1.0,0.0
5976,3,0,31,49,80,0.3875,0.6125
5962,3,0,0,59,59,0.0,1.0
6033,3,0,2,22,24,0.08333333333333333,0.9166666666666666
6038,3,0,0,7,7,0.0,1.0
6042,3,0,0,49,49,0.0,1.0
5924,3,0,0,50,50,0.0,1.0
6083,3,0,2,10,12,0.16666666666666666,0.8333333333333334
6178,3,0,37,188,225,0.16444444444444445,0.8355555555555556
6086,3,0,0,25,25,0.0,1.0
5945,3,0,0,95,95,0.0,1.0
5925,3,0,0,122,122,0.0,1.0
5935,3,0,0,3,3,0.0,1.0
6073,3,0,5,2,7,0.7142857142857143,0.2857142857142857
5980,3,0,2,10,12,0.16666666666666666,0.8333333333333334
5993,3,0,0,24,24,0.0,1.0
5979,3,0,0,33,33,0.0,1.0
5966,3,0,15,11,26,0.5769230769230769,0.4230769230769231
5967,3,0,30,71,101,0.297029702970297,0.7029702970297029
5970,3,0,0,14,14,0.0,1.0
6188,3,0,3,0,3,1.0,0.0
6096,3,0,1,0,1,1.0,0.0
6069,3,0,0,17,17,0.0,1.0
5937,3,0,0,6,6,0.0,1.0
5990,3,0,0,50,50,0.0,1.0
5928,3,0,0,22,22,0.0,1.0
6058,3,0,30,39,69,0.43478260869565216,0.5652173913043478
6001,3,0,3,21,24,0.125,0.875
5964,3,0,3,7,10,0.3,0.7
5950,3,0,2,5,7,0.2857142857142857,0.7142857142857143
5991,3,0,0,20,20,0.0,1.0
6177,3,0,0,3,3,0.0,1.0
5961,3,0,0,45,45,0.0,1.0
5938,3,0,17,323,340,0.05,0.95
5960,3,0,0,36,36,0.0,1.0
5947,3,0,0,78,78,0.0,1.0
5957,3,0,6,1,7,0.8571428571428571,0.14285714285714285
6043,3,0,0,29,29,0.0,1.0
6014,3,0,10,0,10,1.0,0.0
6015,3,0,2,0,2,1.0,0.0
5978,3,0,14,2,16,0.875,0.125
5986,3,0,4,0,4,1.0,0.0
5969,3,0,4,0,4,1.0,0.0
5949,3,0,0,30,30,0.0,1.0
5959,3,0,23,17,40,0.575,0.425
6051,3,0,0,108,108,0.0,1.0
6029,3,0,1,19,20,0.05,0.95
6070,3,0,3,1,4,0.75,0.25
5942,3,0,0,108,108,0.0,1.0
5953,3,0,0,28,28,0.0,1.0
6076,3,0,10,4,14,0.7142857142857143,0.2857142857142857
5940,3,0,9,0,9,1.0,0.0
6109,3,0,39,56,95,0.4105263157894737,0.5894736842105263
6187,3,0,0,6,6,0.0,1.0
6053,3,0,4,11,15,0.26666666666666666,0.7333333333333333
6104,3,0,4,0,4,1.0,0.0
5943,3,0,0,9,9,0.0,1.0
6168,3,0,0,240,240,0.0,1.0
5989,3,0,0,6,6,0.0,1.0
5963,3,0,14,6,20,0.7,0.3
6194,3,0,0,80,80,0.0,1.0
6003,3,0,23,215,238,0.09663865546218488,0.9033613445378151
6167,3,0,4,6,10,0.4,0.6
6004,3,0,17,118,135,0.1259259259259259,0.8740740740740741
6054,3,0,0,14,14,0.0,1.0
6170,3,0,5,29,34,0.14705882352941177,0.8529411764705882
6063,3,0,8,2,10,0.8,0.2
5988,3,0,0,17,17,0.0,1.0
6075,3,0,1,11,12,0.08333333333333333,0.9166666666666666
6061,3,0,0,26,26,0.0,1.0
5965,3,0,0,45,45,0.0,1.0
6040,3,0,11,1,12,0.9166666666666666,0.08333333333333333
6106,3,0,1,29,30,0.03333333333333333,0.9666666666666667
6082,3,0,0,13,13,0.0,1.0
6031,3,0,1,24,25,0.04,0.96
6039,3,0,1,57,58,0.017241379310344827,0.9827586206896551
6189,4,0,4,18,22,0.18181818181818182,0.8181818181818182
5936,4,0,0,31,31,0.0,1.0
6087,4,0,0,18,18,0.0,1.0
5973,4,0,0,34,34,0.0,1.0
6085,4,0,0,34,34,0.0,1.0
5948,4,0,1,41,42,0.023809523809523808,0.9761904761904762
5974,4,0,0,10,10,0.0,1.0
6090,4,0,0,1,1,0.0,1.0
6068,4,0,0,35,35,0.0,1.0
6024,4,0,2,0,2,1.0,0.0
5976,4,0,19,61,80,0.2375,0.7625
5962,4,0,0,59,59,0.0,1.0
6033,4,0,0,24,24,0.0,1.0
6038,4,0,0,7,7,0.0,1.0
6042,4,0,0,49,49,0.0,1.0
5924,4,0,0,50,50,0.0,1.0
6083,4,0,0,12,12,0.0,1.0
6178,4,0,25,200,225,0.1111111111111111,0.8888888888888888
6086,4,0,0,25,25,0.0,1.0
5945,4,0,0,95,95,0.0,1.0
5925,4,0,0,122,122,0.0,1.0
5935,4,0,0,3,3,0.0,1.0
6073,4,0,6,1,7,0.8571428571428571,0.14285714285714285
5980,4,0,2,10,12,0.16666666666666666,0.8333333333333334
5993,4,0,0,24,24,0.0,1.0
5979,4,0,0,33,33,0.0,1.0
5966,4,0,14,12,26,0.5384615384615384,0.46153846153846156
5967,4,0,28,73,101,0.27722772277227725,0.7227722772277227
5970,4,0,0,14,14,0.0,1.0
6188,4,0,3,0,3,1.0,0.0
6096,4,0,1,0,1,1.0,0.0
6069,4,0,0,17,17,0.0,1.0
5937,4,0,0,6,6,0.0,1.0
5990,4,0,0,50,50,0.0,1.0
5928,4,0,0,22,22,0.0,1.0
6058,4,0,27,42,69,0.391304347826087,0.6086956521739131
6001,4,0,3,21,24,0.125,0.875
5964,4,0,0,10,10,0.0,1.0
5950,4,0,0,7,7,0.0,1.0
5991,4,0,0,20,20,0.0,1.0
6177,4,0,0,3,3,0.0,1.0
5961,4,0,0,45,45,0.0,1.0
5938,4,0,20,320,340,0.058823529411764705,0.9411764705882353
5960,4,0,0,36,36,0.0,1.0
5947,4,0,0,78,78,0.0,1.0
5957,4,0,5,2,7,0.7142857142857143,0.2857142857142857
6043,4,0,0,29,29,0.0,1.0
6014,4,0,10,0,10,1.0,0.0
6015,4,0,2,0,2,1.0,0.0
5978,4,0,14,2,16,0.875,0.125
5986,4,0,4,0,4,1.0,0.0
5969,4,0,3,1,4,0.75,0.25
5949,4,0,0,30,30,0.0,1.0
5959,4,0,18,22,40,0.45,0.55
6051,4,0,0,108,108,0.0,1.0
6029,4,0,1,19,20,0.05,0.95
6070,4,0,3,1,4,0.75,0.25
5942,4,0,0,108,108,0.0,1.0
5953,4,0,0,28,28,0.0,1.0
6076,4,0,8,6,14,0.5714285714285714,0.42857142857142855
5940,4,0,8,1,9,0.8888888888888888,0.1111111111111111
6109,4,0,30,65,95,0.3157894736842105,0.6842105263157895
6187,4,0,2,4,6,0.3333333333333333,0.6666666666666666
6053,4,0,0,15,15,0.0,1.0
6104,4,0,3,1,4,0.75,0.25
5943,4,0,0,9,9,0.0,1.0
6168,4,0,0,240,240,0.0,1.0
5989,4,0,0,6,6,0.0,1.0
5963,4,0,12,8,20,0.6,0.4
6194,4,0,0,80,80,0.0,1.0
6003,4,0,15,223,238,0.06302521008403361,0.9369747899159664
6167,4,0,5,5,10,0.5,0.5
6004,4,0,17,118,135,0.1259259259259259,0.8740740740740741
6054,4,0,0,14,14,0.0,1.0
6170,4,0,6,28,34,0.17647058823529413,0.8235294117647058
6063,4,0,7,3,10,0.7,0.3
5988,4,0,0,17,17,0.0,1.0
6075,4,0,1,11,12,0.08333333333333333,0.9166666666666666
6061,4,0,0,26,26,0.0,1.0
5965,4,0,0,45,45,0.0,1.0
6040,4,0,10,2,12,0.8333333333333334,0.16666666666666666
6106,4,0,1,29,30,0.03333333333333333,0.9666666666666667
6082,4,0,0,13,13,0.0,1.0
6031,4,0,0,25,25,0.0,1.0
6039,4,0,1,57,58,0.017241379310344827,0.9827586206896551
6189,5,0,8,14,22,0.36363636363636365,0.6363636363636364
5936,5,0,0,31,31,0.0,1.0
6087,5,0,0,18,18,0.0,1.0
5973,5,0,0,34,34,0.0,1.0
6085,5,0,0,34,34,0.0,1.0
5948,5,0,0,42,42,0.0,1.0
5974,5,0,0,10,10,0.0,1.0
6090,5,0,0,1,1,0.0,1.0
6068,5,0,0,35,35,0.0,1.0
6024,5,0,2,0,2,1.0,0.0
5976,5,0,17,63,80,0.2125,0.7875
5962,5,0,0,59,59,0.0,1.0
6033,5,0,2,22,24,0.08333333333333333,0.9166666666666666
6038,5,0,0,7,7,0.0,1.0
6042,5,0,0,49,49,0.0,1.0
5924,5,0,0,50,50,0.0,1.0
6083,5,0,0,12,12,0.0,1.0
6178,5,0,19,206,225,0.08444444444444445,0.9155555555555556
6086,5,0,0,25,25,0.0,1.0
5945,5,0,0,95,95,0.0,1.0
5925,5,0,0,122,122,0.0,1.0
5935,5,0,0,3,3,0.0,1.0
6073,5,0,4,3,7,0.5714285714285714,0.42857142857142855
5980,5,0,2,10,12,0.16666666666666666,0.8333333333333334
5993,5,0,0,24,24,0.0,1.0
5979,5,0,0,33,33,0.0,1.0
5966,5,0,13,13,26,0.5,0.5
5967,5,0,18,83,101,0.1782178217821782,0.8217821782178217
5970,5,0,0,14,14,0.0,1.0
6188,5,0,3,0,3,1.0,0.0
6096,5,0,1,0,1,1.0,0.0
6069,5,0,0,17,17,0.0,1.0
5937,5,0,0,6,6,0.0,1.0
5990,5,0,0,50,50,0.0,1.0
5928,5,0,0,22,22,0.0,1.0
6058,5,0,22,47,69,0.3188405797101449,0.6811594202898551
6001,5,0,4,20,24,0.16666666666666666,0.8333333333333334
5964,5,0,1,9,10,0.1,0.9
5950,5,0,1,6,7,0.14285714285714285,0.8571428571428571
5991,5,0,0,20,20,0.0,1.0
6177,5,0,0,3,3,0.0,1.0
5961,5,0,0,45,45,0.0,1.0
5938,5,0,12,328,340,0.03529411764705882,0.9647058823529412
5960,5,0,0,36,36,0.0,1.0
5947,5,0,0,78,78,0.0,1.0
5957,5,0,5,2,7,0.7142857142857143,0.2857142857142857
6043,5,0,0,29,29,0.0,1.0
6014,5,0,10,0,10,1.0,0.0
6015,5,0,2,0,2,1.0,0.0
5978,5,0,9,7,16,0.5625,0.4375
5986,5,0,4,0,4,1.0,0.0
5969,5,0,4,0,4,1.0,0.0
5949,5,0,0,30,30,0.0,1.0
5959,5,0,16,24,40,0.4,0.6
6051,5,0,0,108,108,0.0,1.0
6029,5,0,0,20,20,0.0,1.0
6070,5,0,3,1,4,0.75,0.25
5942,5,0,0,108,108,0.0,1.0
5953,5,0,0,28,28,0.0,1.0
6076,5,0,7,7,14,0.5,0.5
5940,5,0,8,1,9,0.8888888888888888,0.1111111111111111
